id,full_position,short_position,sign,key,facet,item
144,144,24,-A5,A5,Modesty,Believe that I am better than others.
145,145,55,+C5,C5,Self-Discipline,Carry out my plans.
147,147,87,+E6,E6,Cheerfulness,Love life.
148,148,88,-O6,O6,Liberalism,Tend to vote for conservative political candidates.
149,149,89,-A6,A6,Sympathy,Am not interested in other people's problems.
150,150,60,-C6,C6,Cautiousness,Make rash decisions.
155,155,95,+C1,C1,Self-Efficacy,Know how to get things done.
157,157,67,-E2,E2,Gregariousness,Prefer to be alone.
159,159,39,-A2,A2,Morality,Cheat to get ahead.
160,160,40,-C2,C2,Orderliness,Often forget to put things back in their proper place.
162,162,102,-E3,E3,Assertiveness,Wait for others to lead the way.
165,165,75,-C3,C3,Dutifulness,Break rules.
167,167,107,-E4,E4,Activity Level,Like to take it easy.
168,168,78,-O4,O4,Adventurousness,Dislike changes.
169,169,19,-A4,A4,Cooperation,Love a good fight.
171,171,51,-N5,N5,Immoderation,Rarely overindulge.
172,172,112,+E5,E5,Excitement-Seeking,Act wild and crazy.
174,174,54,-A5,A5,Modesty,Think highly of myself.
176,176,116,-N6,N6,Vulnerability,Remain calm under pressure.
177,177,117,+E6,E6,Cheerfulness,Look at the bright side of life.
184,184,94,-A1,A1,Trust,Distrust people.
188,188,68,-O2,O2,Artistic Interests,Do not like poetry.
190,190,70,-C2,C2,Orderliness,Leave a mess in my room.
194,194,74,-A3,A3,Altruism,Am indifferent to the feelings of others.
195,195,105,-C3,C3,Dutifulness,Break my promises.
199,199,49,-A4,A4,Cooperation,Yell at people.
201,201,81,-N5,N5,Immoderation,Easily resist temptations.
203,203,53,-O5,O5,Intellect,Avoid philosophical discussions.
204,204,84,-A5,A5,Modesty,Have a high opinion of myself.
205,205,85,-C5,C5,Self-Discipline,Waste my time.
210,210,90,-C6,C6,Cautiousness,Rush into things.
212,212,62,-E1,E1,Friendliness,Avoid contacts with others.
216,216,96,-N2,N2,Anger,Am not easily annoyed.
218,218,98,-O2,O2,Artistic Interests,Do not enjoy going to art museums.
220,220,100,-C2,C2,Orderliness,Leave my belongings around.
223,223,73,-O3,O3,Emotionality,Rarely notice my emotional reactions.
229,229,79,-A4,A4,Cooperation,Insult people.
231,231,111,-N5,N5,Immoderation,Am able to control my cravings.
233,233,83,-O5,O5,Intellect,Have difficulty understanding abstract ideas.
239,239,119,-A6,A6,Sympathy,Try not to think about the needy.
247,247,97,-E2,E2,Gregariousness,Avoid crowds.
249,249,69,-A2,A2,Morality,Take advantage of others.
251,251,101,-N3,N3,Depression,Feel comfortable with myself.
256,256,106,-N4,N4,Self-Consciousness,Am not bothered by difficult social situations.
259,259,109,-A4,A4,Cooperation,Get back at others.
260,260,80,-C4,C4,Achievement-Striving,Do just enough work to get by.
263,263,113,-O5,O5,Intellect,Am not interested in theoretical discussions.
264,264,114,-A5,A5,Modesty,Boast about my virtues.
265,265,115,-C5,C5,Self-Discipline,Have difficulty starting tasks.
268,268,118,-O6,O6,Liberalism,Believe that we should be tough on crime.
270,270,120,-C6,C6,Cautiousness,Act without thinking.
272,272,92,-E1,E1,Friendliness,Keep others at a distance.
279,279,99,-A2,A2,Morality,Obstruct others' plans.
283,283,103,-O3,O3,Emotionality,Don't understand people who get emotional.
284,284,104,-A3,A3,Altruism,Take no time for others.
288,288,108,-O4,O4,Adventurousness,Am attached to conventional ways.
290,290,110,-C4,C4,Achievement-Striving,Put little time and effort into my work.
